number,title,date,word_count
1,Beating the Averages,April 2001,4453
2,Taste for Makers,February 2002,4305
3,A Plan for Spam,August 2002,5337
4,Why Nerds are Unpopular,February 2003,5699
5,Hackers and Painters,May 2003,5584
6,What You Can't Say,January 2004,5422
7,How to Make Wealth,May 2004,8937
8,Great Hackers,July 2004,5221
9,The Age of the Essay,September 2004,4521
10,What You'll Wish You'd Known,January 2005,5075
11,How to Start a Startup,March 2005,9744
12,How to Do What You Love,January 2006,4678
13,The 18 Mistakes That Kill Startups,October 2006,5591
14,Why to Not Not Start a Startup,March 2007,6271
15,How to Disagree,March 2008,1518
16,Be Good,April 2008,2946
17,Cities and Ambition,May 2008,3601
18,Lies We Tell Kids,May 2008,5247
19,Keep Your Identity Small,February 2009,865
20,Startups in 13 Sentences,February 2009,1311
21,Relentlessly Resourceful,March 2009,993
22,"Maker's Schedule, Manager's Schedule",July 2009,1147
23,The Acceleration of Addictiveness,July 2010,1271
24,The Top Idea in Your Mind,July 2010,1156
25,Schlep Blindness,January 2012,838
26,Startup = Growth,September 2012,5350
27,How to Get Startup Ideas,November 2012,7206
28,Do Things that Don't Scale,July 2013,4343
29,How to Raise Money,September 2013,10669
30,Before the Startup,October 2014,4590
31,Default Alive or Default Dead?,October 2015,1496
32,Economic Inequality,January 2016,3429
33,Life is Short,January 2016,1673
34,How to Write Usefully,February 2020,2866
35,The Four Quadrants of Conformism,July 2020,1969
36,How to Think for Yourself,November 2020,3447
37,What I Worked On,February 2021,13809
38,A Project of One's Own,June 2021,2508
39,How to Work Hard,June 2021,3315
40,Putting Ideas into Words,February 2022,1162
